trainer,tag
友道康夫,クラブ馬向き
友道康夫,晩成育成
友道康夫,クラシック向き
友道康夫,中距離向き
友道康夫,長距離向き
友道康夫,ノーザン向き
藤原英昭,クラブ馬向き
藤原英昭,クラシック向き
藤原英昭,中距離向き
矢作芳人,クラブ馬向き
矢作芳人,クラシック向き
矢作芳人,中距離向き
矢作芳人,勝負師
木村哲也,クラブ馬向き
木村哲也,中距離向き
木村哲也,成長株
手塚貴久,クラブ馬向き
手塚貴久,使い分け上手
手塚貴久,中距離向き
手塚貴久,クラシック向き
手塚貴久,長距離向き
中内田充正,クラブ馬向き
中内田充正,クラシック向き
中内田充正,ノーザン向き
中内田充正,ローテ巧者
中内田充正,中距離向き
堀宣行,クラブ馬向き
堀宣行,短距離向き
堀宣行,中距離向き
池江泰寿,クラブ馬向き
池江泰寿,クラシック向き
池江泰寿,中距離向き
池江泰寿,勝負師
斉藤崇史,クラブ馬向き
斉藤崇史,少数精鋭
斉藤崇史,ノーザン向き
斉藤崇史,成長株
杉山晴紀,クラブ馬向き
杉山晴紀,クラシック向き
杉山晴紀,成長株
杉山晴紀,勝負師
杉山晴紀,中距離向き
須貝尚介,クラブ馬向き
須貝尚介,短距離向き
須貝尚介,長距離向き
須貝尚介,使い分け上手
高橋亮,クラブ馬向き
中竹和也,クラブ馬向き
中竹和也,中距離向き
上村洋行,クラブ馬向き
上村洋行,早期デビュー
高柳瑞樹,クラブ馬向き
高柳瑞樹,クラシック向き
高柳瑞樹,社台向き
高柳瑞樹,中距離向き
斎藤誠,クラブ馬向き
斎藤誠,中距離向き
田中博康,クラブ馬向き
田中博康,ダート向き
田中博康,成長株
田中博康,勝負師
田中博康,使い分け上手
松永幹夫,クラブ馬向き
松永幹夫,クラシック向き
松永幹夫,中距離向き
大久保龍志,長距離向き
昆貢,クラシック向き
昆貢,長距離向き
昆貢,下降傾向
